NO,DATE,PRICE (PHP per kg),MANUFACTURING PARTNER,COCONUT VARIETY,CLIMATE SEASON,HARVEST SEASON,QUANTITY SOLD
67,1/12/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,25.5
68,1/12/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,24.8
69,1/12/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,23.2
70,1/12/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,25.6
71,1/12/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,23.8
72,1/12/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,23.2
73,1/13/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,23.6
74,1/13/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,22.2
75,1/13/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,23.8
76,1/13/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,21.8
77,1/13/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,20.6
78,1/13/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,21.3
79,1/14/2017,,RGS,,DRY,,
80,1/14/2017,,LASWERTE,,DRY,,
81,1/14/2017,,BANGAYAN,,DRY,,
82,1/14/2017,,ASIACOM,,DRY,,
83,1/14/2017,,CARGILL,,DRY,,
84,1/14/2017,,PHIDCO,,DRY,,
85,1/15/2017,,RGS,,DRY,,
86,1/15/2017,,LASWERTE,,DRY,,
87,1/15/2017,,BANGAYAN,,DRY,,
88,1/15/2017,,ASIACOM,,DRY,,
89,1/15/2017,,CARGILL,,DRY,,
90,1/15/2017,,PHIDCO,,DRY,,
91,1/16/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,25.2
92,1/16/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,24.9
93,1/16/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,21.3
94,1/16/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,21.2
95,1/16/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,21.4
96,1/16/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,21.0
97,1/17/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,22.0
98,1/17/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,23.6
99,1/17/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,22.4
100,1/17/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,24.1
101,1/17/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,25.0
102,1/17/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,23.4
103,1/18/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,24.4
104,1/18/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,25.1
105,1/18/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,22.2
106,1/18/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,23.9
107,1/18/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,22.1
108,1/18/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,21.5
109,1/19/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,24.2
110,1/19/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,22.3
111,1/19/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,22.3
112,1/19/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,20.8
113,1/19/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,22.4
